Account,Tradedate,Long,Short,FutOpt,Exchange,Contract,ContractMonth,Contractyear,StrikePrice,Price,SettPrice,Currency,UnrealisedPL,TradeNo,"BUY/Sell
1=BUY
0=SELL
","SubType
P=Put
C=Call",Commodity,Commission,Option Delta,Firm/Office,"as-of-date
(mm/dd/yyyy)"
61188803,02/28/2018,0,17,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,28.90,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,61,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,103.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,5,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,8.50,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,14,F,dce,c1805,5,2018,,1831.0000000,,CNY,,,0,,c,23.80,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,8,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,13.60,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,60,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,102.00,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,10,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,17.00,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,2,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,3.40,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,1,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,1.70,,Shanghai Bunge,02/28/2018
61188803,02/28/2018,0,13,F,dce,c1805,5,2018,,1833.0000000,,CNY,,,0,,c,22.10,,Shanghai Bunge,02/28/2018
